(0, -7.913420541376857)
(1, -1.3013581340611726)
(2, -0.6103074466790918)
(3, -0.20814280532323357)
(4, 0.07697167237569615)
(5, 0.29633281636414655)
(6, 0.47476857748416956)
(7, 0.622422683383097)
(8, 0.7476127272432647)
(9, 0.8591822044316552)
(10, 0.9509479899391864)
(11, 1.0289167515019684)
(12, 1.1005208535263367)
(13, 1.157705098562888)
(14, 1.2081197909311978)
(15, 1.2475413964623412)
(16, 1.2744893091463196)
(17, 1.2893761678171973)
(18, 1.2929922323793)
(19, 1.286108725995897)
(20, 1.2619743910488785)
(21, 1.2238311699175721)
(22, 1.1659986386389638)
(23, 1.0958594810602038)
(24, 1.0155910709785367)
(25, 0.9161216862852931)
(26, 0.8150000747068049)
(27, 0.6853134042871255)
(28, 0.5638280722124029)
(29, 0.47706649847876986)
(30, 0.4224104785876946)
(31, 0.4515737570099712)
(32, 0.5245967464164545)
(33, 0.6350428697558892)
(34, 0.7623386877592835)
(35, 0.8731519432170101)
(36, 0.97887677355798)
(37, 1.078381250504004)
(38, 1.1599983285197843)
(39, 1.2242922398644491)
(40, 1.2711032045255173)
(41, 1.309861792972962)
(42, 1.3338327897687936)
(43, 1.3444192651465081)
(44, 1.343277958910155)
(45, 1.3327103654480534)
(46, 1.3187979099957168)
(47, 1.29298430310736)
(48, 1.2555032460335986)
(49, 1.208285607547962)
(50, 1.151841338724772)
(51, 1.086245060920584)
(52, 1.007043079129948)
(53, 0.9222010534801551)
(54, 0.8253128032906034)
(55, 0.7133323599948196)
(56, 0.5916571186751867)
(57, 0.45077409535315244)
(58, 0.31010834124356756)
(59, 0.19908215143837987)
(60, 0.13480837638513432)
(61, 0.14596212260019317)
(62, 0.18888175268363816)
(63, 0.2415975034278213)
(64, 0.3023697816098387)
(65, 0.3799272026914495)
(66, 0.48027641544027583)
(67, 0.5755542051230831)
(68, 0.6736238647319454)
(69, 0.7590694120430738)
(70, 0.8318165390281048)
(71, 0.9063956752481351)
(72, 0.9732291641261595)
(73, 1.033277598246908)
(74, 1.0888787491411245)
(75, 1.128886263320446)
(76, 1.1679133231679595)
(77, 1.197498102239271)
(78, 1.2256061702589673)
(79, 1.2389167630260833)
(80, 1.243041509198944)
(81, 1.241033989845569)
(82, 1.2264321330891923)
(83, 1.2000700277869367)
(84, 1.1509596181615753)
(85, 1.097684561234229)
(86, 1.024879394186713)
(87, 0.9458227199283032)
(88, 0.873332737662906)
(89, 0.8097733492482847)
(90, 0.7751397303455073)
(91, 0.7384825319405164)
(92, 0.6988530145659612)
(93, 0.6987672642838705)
(94, 0.7339437857203109)
(95, 0.802976522511682)
(96, 0.8894872434528845)
(97, 0.9734225132512591)
(98, 1.042877129682657)
(99, 1.109200302265067)
(100, 1.1537285425929742)
(101, 1.1954209870431851)
(102, 1.2274862726102718)
(103, 1.2485522665941018)
(104, 1.2555447107377014)
(105, 1.262642447985837)
(106, 1.2521874490200051)
(107, 1.230995021283254)
(108, 1.202458310052599)
(109, 1.1723539417151736)
(110, 1.133194238852535)
(111, 1.086635761225901)
(112, 1.0271070171019139)
(113, 0.9601309667713399)
(114, 0.8868737044416237)
(115, 0.8031540991781915)
(116, 0.7157331183573747)
(117, 0.6359257448967642)
(118, 0.5562062821174061)
(119, 0.4922995015518602)
(120, 0.44022812292202995)
(121, 0.39578700864134725)
(122, 0.3764564352683842)
